Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
27/07/18,Standard,Gent,3,2,H,1,1,D,,10,11,8,5,,,2,5,2,3,0,0,2.14,3.4,3.25
28/07/18,Kortrijk,Anderlecht,1,4,A,0,2,A,,8,11,1,6,,,6,2,2,1,0,0,4.5,3.8,1.72
28/07/18,Oostende,Mouscron,2,1,H,0,1,A,,11,6,5,2,,,4,0,4,5,0,2,1.53,3.75,7
28/07/18,St Truiden,Cercle Brugge,0,0,D,0,0,D,,9,10,3,6,,,2,5,2,3,0,0,1.9,3.6,3.8
28/07/18,Waregem,Waasland-Beveren,2,2,D,1,0,H,,8,6,5,4,,,5,4,3,2,0,0,1.44,4.5,6.5
29/07/18,Charleroi,Antwerp,0,1,A,0,1,A,,10,6,5,3,,,7,3,1,2,0,0,2,3.3,3.75
29/07/18,Club Brugge,Eupen,5,2,H,3,0,H,,12,9,8,5,,,4,4,0,4,0,1,1.22,6.5,11
29/07/18,Lokeren,Genk,0,4,A,0,2,A,,5,20,1,7,,,2,9,1,0,1,0,3.75,3.4,2
03/08/18,Waasland-Beveren,Standard,0,0,D,0,0,D,,7,19,4,11,,,3,10,3,1,0,1,3.8,3.8,1.85
04/08/18,Antwerp,Kortrijk,0,0,D,0,0,D,,24,0,12,0,,,9,1,1,2,0,0,1.83,3.4,4.5
04/08/18,Cercle Brugge,Lokeren,3,2,H,2,1,H,,18,7,10,3,,,5,0,2,4,0,0,2,3.6,3.5
04/08/18,Eupen,Charleroi,1,4,A,1,2,A,,11,11,6,9,,,3,3,1,0,1,0,2.7,3.2,2.62
04/08/18,Gent,Waregem,1,1,D,0,0,D,,12,5,3,3,,,9,4,3,3,0,0,1.8,3.8,4
05/08/18,Anderlecht,Oostende,5,2,H,0,0,D,,11,6,5,2,,,6,1,2,2,0,0,1.44,4.33,7
05/08/18,Genk,St Truiden,1,1,D,0,0,D,,19,9,9,2,,,9,2,0,5,0,0,1.53,4.2,5.75
05/08/18,Mouscron,Club Brugge,0,1,A,0,0,D,,14,9,3,4,,,6,5,1,1,0,1,7,4.33,1.44
10/08/18,Club Brugge,Kortrijk,3,0,H,2,0,H,,12,3,6,2,,,8,5,1,1,0,0,1.25,6.5,9
11/08/18,Mouscron,Antwerp,0,1,A,0,0,D,,1,19,0,6,,,1,5,1,2,0,0,3.25,3.6,2.1
11/08/18,St Truiden,Lokeren,1,1,D,0,0,D,,20,4,6,2,,,7,2,0,6,0,0,1.66,3.8,5
11/08/18,Standard,Cercle Brugge,0,0,D,0,0,D,,8,7,1,2,,,7,0,2,3,0,0,1.44,4.33,7
11/08/18,Waregem,Eupen,4,0,H,2,0,H,,16,6,11,4,,,5,3,0,3,0,0,1.4,5,6.5
12/08/18,Charleroi,Anderlecht,1,2,A,1,1,D,,13,8,7,5,,,3,3,2,5,0,0,3.5,3.6,2
12/08/18,Gent,Waasland-Beveren,4,1,H,1,0,H,,19,17,10,7,,,11,3,1,2,0,0,1.36,4.75,8.5
12/08/18,Oostende,Genk,0,2,A,0,0,D,,9,15,6,9,,,4,7,3,3,0,0,4,3.75,1.83
17/08/18,Anderlecht,Mouscron,2,0,H,1,0,H,,16,7,8,3,,,11,5,1,4,1,0,1.22,6.5,11
18/08/18,Cercle Brugge,Waregem,3,1,H,1,0,H,,8,14,4,6,,,2,13,4,0,0,0,3.4,3.5,2.04
18/08/18,Kortrijk,Oostende,1,2,A,0,1,A,,14,6,6,4,,,8,4,3,3,1,0,2.37,3.4,2.87
18/08/18,Lokeren,Standard,0,3,A,0,0,D,,5,20,2,14,,,4,5,4,2,0,0,4.33,3.5,1.83
18/08/18,Waasland-Beveren,St Truiden,2,2,D,1,1,D,,13,11,7,8,,,2,2,3,3,0,0,3,3.5,2.25
19/08/18,Antwerp,Club Brugge,1,1,D,0,0,D,,5,9,1,4,,,3,3,3,0,0,0,3.6,3.4,2.04
19/08/18,Eupen,Gent,2,3,A,1,2,A,,11,8,4,4,,,6,8,2,5,0,1,4.75,4,1.64
19/08/18,Genk,Charleroi,3,1,H,1,1,D,,18,12,6,7,,,10,2,0,4,0,0,1.4,4.75,7
24/08/18,Oostende,Waregem,3,1,H,1,1,D,,7,10,5,3,,,0,4,3,4,0,0,3.1,3.5,2.2
25/08/18,Antwerp,Cercle Brugge,1,0,H,0,0,D,,8,10,6,5,,,3,3,3,4,1,0,1.61,3.75,5.5
25/08/18,Charleroi,Kortrijk,0,2,A,0,1,A,,7,8,1,4,,,8,1,0,5,0,0,1.57,3.75,6
25/08/18,Mouscron,Eupen,0,1,A,0,1,A,,12,7,5,4,,,10,5,1,4,0,0,2.3,3.4,3
25/08/18,Standard,St Truiden,3,2,H,1,1,D,,20,9,9,7,,,9,1,3,3,0,0,1.53,4,6
26/08/18,Club Brugge,Anderlecht,2,1,H,2,1,H,,11,10,9,1,,,7,2,2,2,0,0,1.8,3.75,4.2
26/08/18,Genk,Waasland-Beveren,3,2,H,1,0,H,,13,13,6,7,,,10,5,2,4,0,0,1.2,6,15
26/08/18,Gent,Lokeren,2,1,H,0,0,D,,16,7,6,5,,,19,4,1,0,0,0,1.28,5.25,10
31/08/18,Waregem,Club Brugge,2,5,A,0,3,A,,19,23,7,13,,,2,6,5,1,0,0,3.1,3.5,2.2
01/09/18,Charleroi,Mouscron,3,1,H,2,0,H,,12,5,9,1,,,4,5,2,6,0,0,1.57,4.2,5.25
01/09/18,Eupen,Standard,2,1,H,0,1,A,,10,5,5,3,,,2,5,1,2,0,0,5.25,4.2,1.57
01/09/18,Lokeren,Waasland-Beveren,1,0,H,0,0,D,,7,10,5,5,,,5,5,1,4,0,0,2.14,3.4,3.3
01/09/18,St Truiden,Oostende,1,0,H,0,0,D,,13,6,5,3,,,6,3,2,2,0,0,1.95,3.5,3.8
02/09/18,Anderlecht,Antwerp,1,1,D,1,0,H,,9,9,4,2,,,4,5,1,3,0,0,1.66,4,4.75
02/09/18,Cercle Brugge,Gent,0,3,A,0,1,A,,1,8,0,7,,,7,5,4,3,0,0,3.3,3.5,2.1
02/09/18,Kortrijk,Genk,3,3,D,0,0,D,,8,17,6,11,,,5,6,3,2,0,1,4.2,4,1.75
14/09/18,Club Brugge,Lokeren,2,1,H,0,1,A,,13,4,7,2,,,9,5,2,5,0,0,1.16,7.5,13
15/09/18,Genk,Anderlecht,1,0,H,0,0,D,,12,13,5,5,,,9,5,3,1,0,0,1.85,4,3.6
15/09/18,Oostende,Cercle Brugge,1,1,D,0,0,D,,12,11,6,7,,,6,7,3,2,0,0,2.1,3.4,3.4
15/09/18,Standard,Charleroi,0,0,D,0,0,D,,8,10,6,4,,,5,9,3,4,1,0,1.55,3.8,6.5
15/09/18,Waasland-Beveren,Eupen,0,0,D,0,0,D,,15,7,6,3,,,2,7,4,2,0,0,2.2,3.5,3.1
16/09/18,Antwerp,Waregem,5,1,H,3,0,H,,15,5,6,2,,,4,1,2,0,0,1,1.9,3.5,4
16/09/18,Gent,St Truiden,1,2,A,0,1,A,,15,10,5,6,,,12,1,1,4,0,1,1.5,4.33,6
16/09/18,Mouscron,Kortrijk,1,0,H,1,0,H,,14,8,5,3,,,6,10,1,0,0,0,3.1,3.4,2.25
21/09/18,Waregem,Kortrijk,0,2,A,0,0,D,,9,9,5,4,,,3,2,1,2,0,0,1.64,4.2,4.75
22/09/18,Eupen,Oostende,1,2,A,0,1,A,,6,6,3,3,,,6,2,4,2,0,0,2.25,3.5,3
22/09/18,Lokeren,Mouscron,0,0,D,0,0,D,,7,13,1,6,,,3,11,2,2,0,0,2.04,3.6,3.4
22/09/18,St Truiden,Antwerp,2,0,H,0,0,D,,12,9,5,3,,,3,9,2,2,0,0,2.8,3.4,2.4
22/09/18,Waasland-Beveren,Charleroi,1,1,D,0,1,A,,13,9,4,5,,,3,5,4,1,0,2,3.2,3.6,2.1
23/09/18,Anderlecht,Standard,2,1,H,0,1,A,,13,7,7,3,,,10,4,2,2,0,0,2.1,3.5,3.3
23/09/18,Cercle Brugge,Genk,2,5,A,1,2,A,,7,15,3,7,,,1,4,2,2,0,0,5,3.8,1.66
23/09/18,Gent,Club Brugge,0,4,A,0,1,A,,19,11,7,8,,,9,3,1,3,0,0,2.8,3.4,2.4
28/09/18,Kortrijk,Eupen,1,3,A,1,2,A,,14,6,6,3,,,8,1,2,2,0,0,1.9,3.6,3.75
29/09/18,Charleroi,Lokeren,2,1,H,0,0,D,,9,3,3,1,,,3,2,0,3,0,0,1.55,4.33,5.25
29/09/18,Club Brugge,Cercle Brugge,4,0,H,2,0,H,,14,3,5,0,,,8,7,2,6,0,0,1.3,5.75,8.5
29/09/18,Genk,Waregem,4,0,H,2,0,H,,29,3,17,1,,,12,2,0,4,0,0,1.36,4.75,8
29/09/18,Mouscron,Waasland-Beveren,0,3,A,0,2,A,,10,9,4,5,,,6,2,2,3,0,0,2.04,3.5,3.4
30/09/18,Anderlecht,St Truiden,0,0,D,0,0,D,,21,2,7,0,,,11,0,1,0,0,1,1.44,4.5,6.5
30/09/18,Antwerp,Gent,2,2,D,1,2,A,,9,8,7,7,,,8,4,4,2,0,0,2.5,3.4,2.7
30/09/18,Oostende,Standard,1,3,A,0,1,A,,10,5,5,3,,,6,0,3,2,0,0,4.2,3.75,1.8
05/10/18,Cercle Brugge,Charleroi,2,1,H,1,1,D,,3,6,2,4,,,3,5,3,2,0,0,2.9,3.2,2.45
06/10/18,Eupen,Antwerp,1,2,A,1,0,H,,10,11,4,8,,,0,8,2,2,0,0,3.75,3.4,2
06/10/18,Lokeren,Kortrijk,1,3,A,1,0,H,,9,15,4,7,,,5,5,1,2,0,0,2.7,3.4,2.5
06/10/18,St Truiden,Mouscron,3,1,H,1,1,D,,13,15,8,6,,,5,4,0,6,0,2,1.53,4.2,5.75
06/10/18,Waasland-Beveren,Oostende,1,1,D,0,0,D,,7,9,5,3,,,4,2,4,4,0,0,2.5,3.4,2.7
07/10/18,Gent,Genk,1,5,A,1,3,A,,10,13,5,8,,,4,13,4,0,1,0,2.8,3.5,2.37
07/10/18,Standard,Club Brugge,3,1,H,1,0,H,,18,6,8,3,,,6,1,0,2,0,0,2.62,3.3,2.6
07/10/18,Waregem,Anderlecht,1,2,A,0,1,A,,9,11,3,6,,,10,2,1,4,0,0,3.5,3.6,2
19/10/18,Club Brugge,Waasland-Beveren,1,1,D,0,0,D,,19,6,8,1,,,6,4,0,1,0,0,1.18,7.5,12
20/10/18,Antwerp,Lokeren,2,1,H,1,0,H,,17,5,9,2,,,9,2,3,4,0,1,1.36,4.5,9
20/10/18,Genk,Eupen,2,1,H,1,0,H,,26,9,10,4,,,13,5,1,4,0,0,1.16,7.5,13
20/10/18,Kortrijk,St Truiden,3,1,H,2,1,H,,16,10,7,7,,,5,5,1,0,0,0,2.04,3.6,3.3
20/10/18,Mouscron,Standard,0,0,D,0,0,D,,8,13,2,5,,,4,8,0,0,0,0,5.75,4.2,1.53
21/10/18,Anderlecht,Cercle Brugge,4,2,H,2,0,H,,12,7,7,4,,,7,4,2,4,0,0,1.36,5,7.5
21/10/18,Charleroi,Waregem,3,2,H,1,0,H,,11,9,8,4,,,2,6,2,3,0,0,1.83,3.5,4.2
21/10/18,Oostende,Gent,0,4,A,0,2,A,,8,14,4,11,,,5,4,4,1,0,0,3.3,3.5,2.1
26/10/18,Gent,Charleroi,2,1,H,1,1,D,,12,6,6,4,,,7,2,2,4,0,0,1.66,3.8,5
27/10/18,Cercle Brugge,Kortrijk,1,1,D,0,1,A,,7,14,2,8,,,6,10,1,1,0,0,2.7,3.4,2.5
27/10/18,Lokeren,Oostende,0,0,D,0,0,D,,9,16,3,10,,,3,7,1,1,0,0,3,3.4,2.3
27/10/18,St Truiden,Club Brugge,2,2,D,1,2,A,,9,8,4,5,,,6,2,2,1,0,0,4.33,4,1.72
27/10/18,Waregem,Mouscron,2,2,D,2,1,H,,8,12,6,4,,,8,3,2,2,0,0,1.61,4,5
28/10/18,Eupen,Anderlecht,2,1,H,2,0,H,,5,9,5,5,,,4,12,2,1,0,0,4.5,4,1.7
28/10/18,Standard,Genk,1,1,D,0,0,D,,11,12,6,6,,,5,4,2,2,0,0,3,3.25,2.37
28/10/18,Waasland-Beveren,Antwerp,0,1,A,0,0,D,,15,13,6,6,,,5,8,2,1,0,0,4.75,3.75,1.72
30/10/18,Charleroi,St Truiden,1,0,H,0,0,D,,14,9,8,4,,,6,2,1,2,0,0,1.9,3.6,3.75
30/10/18,Club Brugge,Oostende,4,0,H,3,0,H,,15,11,9,6,,,8,2,1,4,0,0,1.36,5.25,7
30/10/18,Mouscron,Gent,3,1,H,2,0,H,,17,18,9,7,,,6,4,2,0,0,0,5.5,4.2,1.55
31/10/18,Antwerp,Genk,2,4,A,2,0,H,,12,18,8,12,,,5,6,3,3,0,0,3.3,3.5,2.1
31/10/18,Eupen,Cercle Brugge,2,0,H,0,0,D,,12,6,6,5,,,7,5,2,3,0,0,2.04,3.5,3.4
31/10/18,Kortrijk,Waasland-Beveren,2,2,D,2,0,H,,16,9,10,5,,,9,5,2,2,0,0,1.5,4.5,6
01/11/18,Anderlecht,Lokeren,1,1,D,0,0,D,,11,5,4,3,,,5,4,0,1,0,0,1.25,5.5,12
01/11/18,Waregem,Standard,3,1,H,1,1,D,,12,6,10,5,,,6,8,2,2,1,0,3.5,3.75,1.95
02/11/18,Oostende,Charleroi,2,1,H,1,0,H,,8,12,4,3,,,3,6,3,1,0,0,3.1,3.3,2.3
03/11/18,Cercle Brugge,Mouscron,2,1,H,0,1,A,,12,3,8,1,,,9,3,2,2,0,1,2.25,3.3,3.2
03/11/18,Genk,Club Brugge,1,1,D,1,0,H,,6,12,3,4,,,4,3,0,2,0,0,1.9,3.6,3.75
03/11/18,Gent,Kortrijk,3,1,H,0,1,A,,9,7,5,4,,,5,4,1,4,0,0,1.61,4,5
04/11/18,Lokeren,Eupen,2,0,H,2,0,H,,9,9,6,4,,,2,9,0,0,0,0,2.45,3.3,2.8
04/11/18,St Truiden,Waregem,2,1,H,0,1,A,,12,6,6,3,,,1,6,3,2,0,1,2,3.5,3.6
04/11/18,Standard,Antwerp,0,2,A,0,1,A,,8,5,2,2,,,2,2,2,5,0,0,1.95,3.5,3.75
04/11/18,Waasland-Beveren,Anderlecht,1,2,A,0,1,A,,6,7,4,4,,,3,2,7,4,1,1,5.5,3.8,1.61
09/11/18,Antwerp,Oostende,2,0,H,1,0,H,,19,7,9,5,,,9,4,3,2,0,1,1.44,4.5,6.5
10/11/18,Cercle Brugge,Waasland-Beveren,2,0,H,1,0,H,,8,5,4,1,,,6,3,0,2,0,0,1.85,3.6,4
10/11/18,Charleroi,Club Brugge,2,1,H,1,1,D,,7,5,6,4,,,4,5,1,1,0,0,3.6,3.6,1.95
10/11/18,Eupen,St Truiden,1,4,A,0,2,A,,7,6,2,6,,,5,3,3,2,0,0,2.37,3.6,2.7
10/11/18,Waregem,Lokeren,2,0,H,0,0,D,,8,1,4,0,,,4,7,2,6,0,0,1.6,4.33,4.75
11/11/18,Anderlecht,Gent,2,0,H,1,0,H,,19,15,11,5,,,7,4,1,2,0,2,2,3.6,3.5
11/11/18,Kortrijk,Standard,0,2,A,0,1,A,,12,9,4,7,,,5,2,3,4,0,0,2.6,3.6,2.5
11/11/18,Mouscron,Genk,0,0,D,0,0,D,,11,15,3,8,,,5,2,3,4,0,0,7.5,5.5,1.33
23/11/18,Club Brugge,Waregem,1,3,A,0,2,A,,9,7,3,3,,,5,2,0,1,0,0,1.36,5.5,7
24/11/18,Genk,Cercle Brugge,1,2,A,0,2,A,,14,3,5,2,,,12,4,0,5,0,1,1.16,7,15
24/11/18,Oostende,Kortrijk,1,2,A,1,1,D,,11,10,6,6,,,2,11,1,1,0,0,3.1,3.4,2.25
24/11/18,Standard,Eupen,3,0,H,2,0,H,,11,2,6,1,,,5,4,2,2,0,0,1.4,5,6.5
24/11/18,Waasland-Beveren,Mouscron,1,2,A,0,1,A,,12,13,5,7,,,3,7,2,4,0,0,2.62,3.4,2.54
25/11/18,Gent,Antwerp,0,0,D,0,0,D,,9,5,2,1,,,2,2,1,5,0,0,2,3.5,3.6
25/11/18,Lokeren,Charleroi,2,4,A,1,1,D,,12,14,7,10,,,0,6,0,1,0,0,3.5,3.6,2
25/11/18,St Truiden,Anderlecht,4,2,H,1,1,D,,10,8,6,4,,,3,2,3,3,0,0,3.3,3.6,2.04
30/11/18,Lokeren,Gent,2,2,D,1,0,H,,11,14,5,8,,,3,10,1,2,0,0,6.5,4,1.5
01/12/18,Antwerp,St Truiden,1,3,A,1,2,A,,9,10,4,4,,,9,7,2,4,0,0,1.66,3.6,5.25
01/12/18,Charleroi,Cercle Brugge,3,1,H,1,0,H,,15,4,7,1,,,2,3,2,3,0,0,1.57,4,5.5
01/12/18,Kortrijk,Mouscron,1,0,H,1,0,H,,5,8,3,5,,,2,4,3,2,0,0,1.72,3.75,4.5
01/12/18,Waregem,Oostende,1,1,D,1,0,H,,7,8,2,4,,,6,4,2,2,0,0,1.72,3.75,4.5
02/12/18,Anderlecht,Genk,0,1,A,0,0,D,,10,6,4,2,,,3,1,4,2,0,0,3.1,3.5,2.2
02/12/18,Club Brugge,Standard,3,0,H,3,0,H,,11,3,8,1,,,5,5,2,4,0,1,1.66,3.8,5
02/12/18,Eupen,Waasland-Beveren,1,0,H,1,0,H,,16,8,6,6,,,8,5,2,3,0,0,1.61,4.2,4.75
07/12/18,Waasland-Beveren,Club Brugge,2,1,H,0,0,D,,9,10,4,6,,,7,4,2,4,0,1,7,5,1.36
08/12/18,Genk,Kortrijk,1,1,D,1,1,D,,19,8,6,4,,,4,2,2,5,0,0,1.2,7,11
08/12/18,Mouscron,Waregem,0,0,D,0,0,D,,1,9,0,4,,,5,5,2,1,1,0,2.7,3.4,2.5
08/12/18,Oostende,Lokeren,1,0,H,0,0,D,,5,8,5,2,,,1,4,1,2,0,0,1.8,3.8,4
08/12/18,St Truiden,Standard,1,1,D,1,0,H,,15,14,8,6,,,3,13,3,1,0,0,2.3,3.4,3
09/12/18,Anderlecht,Charleroi,1,1,D,0,0,D,,12,7,6,4,,,6,3,4,2,0,0,1.83,3.75,4
