Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
09/08/02,Dortmund,Hertha,2,2,D,2,1,H,,,,,,,,,,,,,,,,
10/08/02,Cottbus,Leverkusen,1,1,D,0,0,D,,,,,,,,,,,,,,3,3.2,2.1
10/08/02,M'gladbach,Bayern Munich,0,0,D,0,0,D,,,,,,,,,,,,,,4,3.5,1.727
10/08/02,Nurnberg,Bochum,1,3,A,0,2,A,,,,,,,,,,,,,,1.909,3.25,3.4
10/08/02,Schalke 04,Wolfsburg,1,0,H,0,0,D,,,,,,,,,,,,,,1.571,3.5,5
10/08/02,Stuttgart,Kaiserslautern,1,1,D,1,0,H,,,,,,,,,,,,,,2.1,3.2,3
11/08/02,Bielefeld,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,,,,2.625,3.2,2.3
11/08/02,Hamburg,Hannover,2,1,H,0,1,A,,,,,,,,,,,,,,1.667,3.4,4.333
14/08/02,Munich 1860,Hansa Rostock,0,2,A,0,1,A,,,,,,,,,,,,,,1.727,3.2,4.333
17/08/02,Bayern Munich,Bielefeld,6,2,H,3,0,H,,,,,,,,,,,,,,1.222,5,9
17/08/02,Bochum,Cottbus,5,0,H,3,0,H,,,,,,,,,,,,,,1.833,3.2,3.75
17/08/02,Hannover,Munich 1860,1,3,A,1,2,A,,,,,,,,,,,,,,2.1,3.2,3
17/08/02,Hansa Rostock,Nurnberg,2,0,H,1,0,H,,,,,,,,,,,,,,1.833,3.2,3.75
17/08/02,Hertha,Stuttgart,1,1,D,0,1,A,,,,,,,,,,,,,,1.615,3.5,4.5
17/08/02,Kaiserslautern,Schalke 04,1,3,A,1,0,H,,,,,,,,,,,,,,2.25,3.2,2.75
17/08/02,Leverkusen,Dortmund,1,1,D,1,0,H,,,,,,,,,,,,,,2.1,3,3.2
18/08/02,Werder Bremen,Hamburg,2,1,H,1,1,D,,,,,,,,,,,,,,2.1,3,3.2
18/08/02,Wolfsburg,M'gladbach,1,0,H,0,0,D,,,,,,,,,,,,,,1.833,3.2,3.75
24/08/02,Bielefeld,Wolfsburg,1,0,H,1,0,H,,,,,,,,,,,,,,2.3,3.2,2.625
24/08/02,Cottbus,Hansa Rostock,0,4,A,0,2,A,,,,,,,,,,,,,,2.2,3,3
24/08/02,Dortmund,Stuttgart,3,1,H,1,0,H,,,,,,,,,,,,,,1.5,3.4,6
24/08/02,Hamburg,Bayern Munich,0,3,A,0,1,A,,,,,,,,,,,,,,3.5,3.2,1.909
24/08/02,Leverkusen,Bochum,2,4,A,1,3,A,,,,,,,,,,,,,,1.444,3.6,6.5
24/08/02,M'gladbach,Kaiserslautern,3,0,H,2,0,H,,,,,,,,,,,,,,2.375,3.1,2.625
24/08/02,Munich 1860,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,,,,2.2,3.2,2.8
25/08/02,Nurnberg,Hannover,3,1,H,2,0,H,,,,,,,,,,,,,,2,3.2,3.2
25/08/02,Schalke 04,Hertha,0,0,D,0,0,D,,,,,,,,,,,,,,2,3.2,3.2
10/09/02,Bayern Munich,Munich 1860,3,1,H,1,1,D,,,,,,,,,,,,,,1.444,3.6,6.5
10/09/02,Bochum,Dortmund,0,0,D,0,0,D,,,,,,,,,,,,,,2.875,3,2.25
10/09/02,Hertha,M'gladbach,1,2,A,0,1,A,,,,,,,,,,,,,,1.5,3.4,6
10/09/02,Werder Bremen,Nurnberg,4,1,H,1,0,H,,,,,,,,,,,,,,1.615,3.25,5
11/09/02,Hannover,Cottbus,1,3,A,1,1,D,,,,,,,,,,,,,,1.727,3.2,4.333
11/09/02,Hansa Rostock,Leverkusen,1,3,A,0,2,A,,,,,,,,,,,,,,2.625,3.1,2.375
11/09/02,Kaiserslautern,Bielefeld,1,1,D,0,0,D,,,,,,,,,,,,,,1.571,3.25,5.5
11/09/02,Stuttgart,Schalke 04,1,1,D,1,0,H,,,,,,,,,,,,,,2.5,3.1,2.5
11/09/02,Wolfsburg,Hamburg,2,1,H,0,0,D,,,,,,,,,,,,,,2,3.2,3.2
14/09/02,Bielefeld,Hertha,0,1,A,0,0,D,,,,,,,,,,,,,,2.625,3.1,2.375
14/09/02,Cottbus,Werder Bremen,0,1,A,0,0,D,,,,,,,,,,,,,,2.5,3.1,2.5
14/09/02,Dortmund,Schalke 04,1,1,D,0,0,D,,,,,,,,,,,,,,1.909,3,3.75
14/09/02,Leverkusen,Hannover,1,3,A,1,1,D,,,,,,,,,,,,,,1.333,4,8
14/09/02,M'gladbach,Stuttgart,1,1,D,0,0,D,,,,,,,,,,,,,,2,3.2,3.2
14/09/02,Munich 1860,Wolfsburg,2,2,D,0,0,D,,,,,,,,,,,,,,1.909,3.2,3.5
14/09/02,Nurnberg,Bayern Munich,1,2,A,1,1,D,,,,,,,,,,,,,,4.5,3.25,1.667
15/09/02,Bochum,Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,,,,1.833,3.2,3.75
15/09/02,Hamburg,Kaiserslautern,2,0,H,0,0,D,,,,,,,,,,,,,,2.1,3.2,3
21/09/02,Bayern Munich,Cottbus,3,1,H,1,1,D,,,,,,,,,,,,,,1.2,5,11
21/09/02,Hannover,Bochum,2,2,D,1,1,D,,,,,,,,,,,,,,2.25,3.2,2.75
21/09/02,Hansa Rostock,Dortmund,0,1,A,0,1,A,,,,,,,,,,,,,,2.625,3.2,2.3
21/09/02,Hertha,Hamburg,2,0,H,0,0,D,,,,,,,,,,,,,,1.727,3.2,4.333
21/09/02,Kaiserslautern,Munich 1860,0,0,D,0,0,D,,,,,,,,,,,,,,2,3,3.4
21/09/02,Werder Bremen,Leverkusen,3,2,H,3,2,H,,,,,,,,,,,,,,2.1,3.2,3
21/09/02,Wolfsburg,Nurnberg,0,2,A,0,0,D,,,,,,,,,,,,,,1.615,3.25,5
22/09/02,Schalke 04,M'gladbach,2,1,H,2,1,H,,,,,,,,,,,,,,1.615,3.25,5
22/09/02,Stuttgart,Bielefeld,3,0,H,1,0,H,,,,,,,,,,,,,,1.667,3.25,4.5
28/09/02,Bielefeld,Schalke 04,2,1,H,1,1,D,,,,,,,,,,,,,,2.75,3.2,2.25
28/09/02,Cottbus,Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,,,,2.3,3.2,2.625
28/09/02,Dortmund,M'gladbach,1,0,H,0,0,D,,,,,,,,,,,,,,1.4,3.75,7
