Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
16/08/02,Roosendaal,Zwolle,1,1,D,1,0,H,,,,,,,,,,,,,,2,3.4,3
17/08/02,AZ Alkmaar,Heerenveen,3,3,D,1,2,A,,,,,,,,,,,,,,2.4,3.25,2.5
17/08/02,Excelsior,PSV Eindhoven,0,2,A,0,2,A,,,,,,,,,,,,,,5,3.5,1.571
17/08/02,NAC Breda,Roda JC,2,2,D,1,0,H,,,,,,,,,,,,,,2,3.4,3
17/08/02,Twente,Willem II,0,2,A,0,0,D,,,,,,,,,,,,,,2,3.4,3
18/08/02,Ajax,Utrecht,3,1,H,1,1,D,,,,,,,,,,,,,,1.333,4,8
18/08/02,Feyenoord,Nijmegen,2,0,H,0,0,D,,,,,,,,,,,,,,1.364,3.75,8
18/08/02,Groningen,Vitesse,1,2,A,1,1,D,,,,,,,,,,,,,,2.7,3.25,2.25
18/08/02,Waalwijk,Graafschap,4,2,H,1,0,H,,,,,,,,,,,,,,1.571,3.5,5
23/08/02,Nijmegen,AZ Alkmaar,2,0,H,1,0,H,,,,,,,,,,,,,,1.833,3.2,3.75
24/08/02,Graafschap,Roosendaal,2,0,H,1,0,H,,,,,,,,,,,,,,1.8,3.25,3.75
24/08/02,Heerenveen,Waalwijk,1,2,A,1,0,H,,,,,,,,,,,,,,1.615,3.25,5
24/08/02,PSV Eindhoven,Groningen,1,0,H,0,0,D,,,,,,,,,,,,,,1.167,5.5,11
24/08/02,Roda JC,Feyenoord,2,2,D,1,1,D,,,,,,,,,,,,,,3,3.2,2.1
24/08/02,Zwolle,Excelsior,1,1,D,1,0,H,,,,,,,,,,,,,,1.909,3.25,3.4
25/08/02,Twente,Utrecht,1,1,D,1,1,D,,,,,,,,,,,,,,2.1,3.2,3
25/08/02,Vitesse,Ajax,1,2,A,1,0,H,,,,,,,,,,,,,,3.2,3.2,2
25/08/02,Willem II,NAC Breda,1,1,D,1,1,D,,,,,,,,,,,,,,1.833,3.4,3.5
30/08/02,Waalwijk,Twente,3,2,H,1,1,D,,,,,,,,,,,,,,1.727,3.4,4
31/08/02,NAC Breda,Nijmegen,0,0,D,0,0,D,,,,,,,,,,,,,,1.833,3.2,3.75
31/08/02,Roda JC,Willem II,1,0,H,0,0,D,,,,,,,,,,,,,,1.833,3.2,3.75
31/08/02,Zwolle,Vitesse,1,0,H,0,0,D,,,,,,,,,,,,,,3,3.2,2.1
01/09/02,Groningen,Ajax,1,3,A,0,2,A,,,,,,,,,,,,,,4.5,3.75,1.571
01/09/02,Roosendaal,Heerenveen,3,0,H,2,0,H,,,,,,,,,,,,,,3,3.2,2.1
10/09/02,AZ Alkmaar,PSV Eindhoven,0,4,A,0,3,A,,,,,,,,,,,,,,4.5,3.5,1.615
10/09/02,Feyenoord,Excelsior,4,1,H,2,1,H,,,,,,,,,,,,,,,,
10/09/02,Utrecht,Graafschap,4,0,H,2,0,H,,,,,,,,,,,,,,1.5,3.4,6
13/09/02,Vitesse,Roosendaal,3,0,H,1,0,H,,,,,,,,,,,,,,1.444,3.75,6
14/09/02,Ajax,Zwolle,2,0,H,0,0,D,,,,,,,,,,,,,,1.167,5.5,11
14/09/02,Excelsior,Groningen,4,2,H,2,1,H,,,,,,,,,,,,,,2,3.4,3
14/09/02,Heerenveen,NAC Breda,0,2,A,0,2,A,,,,,,,,,,,,,,1.8,3.4,3.6
14/09/02,PSV Eindhoven,Waalwijk,4,0,H,1,0,H,,,,,,,,,,,,,,1.364,4,7
14/09/02,Twente,Feyenoord,1,5,A,1,3,A,,,,,,,,,,,,,,3.5,3.4,1.833
14/09/02,Willem II,Utrecht,2,0,H,1,0,H,,,,,,,,,,,,,,2,3.2,2.75
15/09/02,Graafschap,AZ Alkmaar,1,2,A,1,2,A,,,,,,,,,,,,,,2.2,3.25,2.75
15/09/02,Nijmegen,Roda JC,2,4,A,2,1,H,,,,,,,,,,,,,,2.1,3.4,2.8
20/09/02,Excelsior,AZ Alkmaar,1,2,A,0,2,A,,,,,,,,,,,,,,,,
20/09/02,NAC Breda,Twente,2,0,H,1,0,H,,,,,,,,,,,,,,1.727,3.4,4
21/09/02,Feyenoord,Graafschap,2,0,H,1,0,H,,,,,,,,,,,,,,1.2,5,11
21/09/02,Roosendaal,Ajax,2,3,A,0,0,D,,,,,,,,,,,,,,5.5,3.5,1.533
21/09/02,Willem II,Nijmegen,1,1,D,0,1,A,,,,,,,,,,,,,,1.8,3.25,3.8
21/09/02,Zwolle,PSV Eindhoven,1,3,A,0,1,A,,,,,,,,,,,,,,5,3.5,1.571
22/09/02,Groningen,Utrecht,0,0,D,0,0,D,,,,,,,,,,,,,,2.5,3.2,2.4
22/09/02,Roda JC,Heerenveen,1,0,H,1,0,H,,,,,,,,,,,,,,1.8,3.25,3.8
22/09/02,Vitesse,Waalwijk,1,1,D,0,0,D,,,,,,,,,,,,,,1.8,3.25,3.8
27/09/02,AZ Alkmaar,Groningen,4,1,H,3,0,H,,,,,,,,,,,,,,1.571,3.5,5
28/09/02,PSV Eindhoven,Graafschap,4,0,H,3,0,H,,,,,,,,,,,,,,1.143,6,12
28/09/02,Roosendaal,Feyenoord,4,2,H,1,1,D,,,,,,,,,,,,,,5,3.6,1.533
28/09/02,Twente,Roda JC,3,3,D,0,0,D,,,,,,,,,,,,,,2.75,3.2,2.25
28/09/02,Willem II,Zwolle,5,2,H,3,0,H,,,,,,,,,,,,,,1.444,3.6,6.5
29/09/02,Ajax,NAC Breda,2,2,D,0,2,A,,,,,,,,,,,,,,1.286,4.5,8
29/09/02,Nijmegen,Heerenveen,4,2,H,2,0,H,,,,,,,,,,,,,,2,3.3,3.1
29/09/02,Utrecht,Vitesse,1,0,H,1,0,H,,,,,,,,,,,,,,2,3.2,3.2
29/09/02,Waalwijk,Excelsior,0,3,A,0,1,A,,,,,,,,,,,,,,1.444,3.6,6.5
02/10/02,Nijmegen,Groningen,2,0,H,1,0,H,,,,,,,,,,,,,,1.615,3.5,4.5
04/10/02,Waalwijk,Zwolle,0,2,A,0,2,A,,,,,,,,,,,,,,1.5,3.6,5.5
05/10/02,Graafschap,Twente,0,1,A,0,0,D,,,,,,,,,,,,,,2.2,3.25,2.75
05/10/02,NAC Breda,PSV Eindhoven,2,2,D,1,0,H,,,,,,,,,,,,,,4,3.4,1.727
05/10/02,Roda JC,Excelsior,2,3,A,0,1,A,,,,,,,,,,,,,,1.444,3.75,6
06/10/02,AZ Alkmaar,Vitesse,1,3,A,1,1,D,,,,,,,,,,,,,,2.1,3.2,3
06/10/02,Feyenoord,Ajax,1,2,A,0,2,A,,,,,,,,,,,,,,2.1,3.2,3
06/10/02,Heerenveen,Willem II,1,1,D,1,0,H,,,,,,,,,,,,,,2.2,3.25,2.75
06/10/02,Utrecht,Roosendaal,2,2,D,1,1,D,,,,,,,,,,,,,,1.444,3.75,6
18/10/02,Graafschap,Nijmegen,1,3,A,0,0,D,,,,,,,,,,,,,,2.5,3.4,2.3
19/10/02,Ajax,AZ Alkmaar,6,2,H,3,1,H,,,,,,,,,,,,,,1.25,4.5,10
19/10/02,PSV Eindhoven,Roda JC,0,0,D,0,0,D,,,,,,,,,,,,,,1.333,4,8
