Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
22/08/09,Aris,Atromitos,1,0,H,0,0,D,,,,,,,,,,,,,,1.5,3.6,6.5
22/08/09,Ergotelis,Panathinaikos,0,3,A,0,2,A,,,,,,,,,,,,,,5.5,3.6,1.57
22/08/09,Xanthi,Giannina,1,1,D,0,1,A,,,,,,,,,,,,,,1.73,3.25,4.75
23/08/09,Asteras Tripolis,Larisa,0,0,D,0,0,D,,,,,,,,,,,,,,2.25,3.2,3
23/08/09,Levadeiakos,Kavala,0,1,A,0,1,A,,,,,,,,,,,,,,1.95,3.2,3.75
23/08/09,Panthrakikos,Iraklis,1,2,A,0,1,A,,,,,,,,,,,,,,2.75,3,2.5
29/08/09,Iraklis,Aris,2,2,D,1,2,A,,,,,,,,,,,,,,2.63,2.88,2.7
29/08/09,Kavala,Asteras Tripolis,0,1,A,0,1,A,,,,,,,,,,,,,,2.4,2.88,3
29/08/09,Panionios,Ergotelis,1,1,D,1,1,D,,,,,,,,,,,,,,1.62,3.4,5.5
30/08/09,Atromitos,AEK,0,1,A,0,0,D,,,,,,,,,,,,,,4.33,3.2,1.8
30/08/09,Giannina,Panthrakikos,2,0,H,1,0,H,,,,,,,,,,,,,,1.75,3.25,4.75
30/08/09,Larisa,Olympiakos,0,2,A,0,2,A,,,,,,,,,,,,,,5.5,3.5,1.62
30/08/09,Panathinaikos,Xanthi,1,0,H,1,0,H,,,,,,,,,,,,,,1.2,5.5,13
30/08/09,PAOK,Levadeiakos,3,0,H,0,0,D,,,,,,,,,,,,,,1.33,4.33,8.5
12/09/09,Aris,Giannina,1,0,H,1,0,H,,,,,,,,,,,,,,1.62,3.5,6.5
12/09/09,Larisa,Atromitos,2,2,D,2,1,H,,,,,,,,,,,,,,1.83,3.2,4.75
12/09/09,Olympiakos,Kavala,0,0,D,0,0,D,,,,,,,,,,,,,,1.17,6.5,19
13/09/09,AEK,Iraklis,1,0,H,1,0,H,,,,,,,,,,,,,,1.44,3.8,9
13/09/09,Asteras Tripolis,PAOK,1,1,D,0,0,D,,,,,,,,,,,,,,3.75,3.1,2.1
13/09/09,Ergotelis,Xanthi,1,0,H,1,0,H,,,,,,,,,,,,,,2.38,3,3.25
13/09/09,Levadeiakos,Panionios,1,0,H,0,0,D,,,,,,,,,,,,,,2.9,2.9,2.6
13/09/09,Panthrakikos,Panathinaikos,0,1,A,0,0,D,,,,,,,,,,,,,,9,4.5,1.36
19/09/09,Iraklis,Larisa,2,1,H,0,0,D,,,,,,,,,,,,,,2.25,2.9,3.6
19/09/09,Kavala,Atromitos,2,1,H,1,1,D,,,,,,,,,,,,,,2.25,2.9,3.6
19/09/09,Panionios,Asteras Tripolis,1,3,A,0,3,A,,,,,,,,,,,,,,1.8,3.25,5
20/09/09,Giannina,AEK,1,1,D,0,0,D,,,,,,,,,,,,,,5,3.25,1.8
20/09/09,Levadeiakos,Ergotelis,2,2,D,1,0,H,,,,,,,,,,,,,,2.3,3,3.4
20/09/09,Panathinaikos,Aris,2,1,H,1,1,D,,,,,,,,,,,,,,1.36,4.5,8.5
20/09/09,PAOK,Olympiakos,1,2,A,1,1,D,,,,,,,,,,,,,,2.5,3,3
20/09/09,Xanthi,Panthrakikos,1,0,H,1,0,H,,,,,,,,,,,,,,1.75,3.3,5.25
23/09/09,AEK,Olympiakos,1,2,A,0,1,A,,,,,,,,,,,,,,2.8,2.88,2.6
23/09/09,Panionios,PAOK,0,0,D,0,0,D,,,,,,,,,,,,,,3,3,2.38
26/09/09,Aris,Xanthi,1,0,H,0,0,D,,,,,,,,,,,,,,1.53,3.6,6
26/09/09,Larisa,Giannina,0,0,D,0,0,D,,,,,,,,,,,,,,1.83,3.3,4
26/09/09,Olympiakos,Panionios,1,0,H,1,0,H,,,,,,,,,,,,,,1.17,6.5,12
27/09/09,AEK,Panathinaikos,0,1,A,0,0,D,,,,,,,,,,,,,,2.75,3,2.5
27/09/09,Asteras Tripolis,Levadeiakos,2,1,H,0,0,D,,,,,,,,,,,,,,1.7,3.4,4.75
27/09/09,Atromitos,PAOK,0,0,D,0,0,D,,,,,,,,,,,,,,2.9,3,2.38
27/09/09,Ergotelis,Panthrakikos,4,0,H,1,0,H,,,,,,,,,,,,,,1.7,3.4,4.75
27/09/09,Kavala,Iraklis,1,0,H,0,0,D,,,,,,,,,,,,,,2.63,3,2.63
03/10/09,Giannina,Kavala,2,1,H,1,0,H,,,,,,,,,,,,,,1.95,3.1,4.33
03/10/09,Levadeiakos,Olympiakos,0,3,A,0,3,A,,,,,,,,,,,,,,8.5,4.2,1.4
03/10/09,Panthrakikos,Aris,1,1,D,1,1,D,,,,,,,,,,,,,,4.5,3.3,1.83
05/10/09,Asteras Tripolis,Ergotelis,2,4,A,1,2,A,,,,,,,,,,,,,,1.85,3,4.5
05/10/09,Panathinaikos,Larisa,4,0,H,1,0,H,,,,,,,,,,,,,,1.25,5,11
05/10/09,Panionios,Atromitos,2,1,H,1,0,H,,,,,,,,,,,,,,1.85,3.2,4.33
05/10/09,PAOK,Iraklis,1,0,H,0,0,D,,,,,,,,,,,,,,1.6,3.4,6
05/10/09,Xanthi,AEK,1,0,H,1,0,H,,,,,,,,,,,,,,3.4,3,2.2
17/10/09,Ergotelis,Aris,0,0,D,0,0,D,,,,,,,,,,,,,,2.8,2.9,2.6
17/10/09,Olympiakos,Asteras Tripolis,3,0,H,1,0,H,,,,,,,,,,,,,,1.2,6,11
17/10/09,PAOK,Giannina,2,0,H,2,0,H,,,,,,,,,,,,,,1.5,3.6,7
18/10/09,AEK,Panthrakikos,3,2,H,2,1,H,,,,,,,,,,,,,,1.2,6,11
18/10/09,Atromitos,Levadeiakos,3,0,H,0,0,D,,,,,,,,,,,,,,1.67,3.2,5.5
18/10/09,Iraklis,Panionios,0,2,A,0,0,D,,,,,,,,,,,,,,2.2,3.1,3.2
18/10/09,Kavala,Panathinaikos,2,2,D,2,0,H,,,,,,,,,,,,,,7,3.6,1.5
18/10/09,Larisa,Xanthi,2,0,H,0,0,D,,,,,,,,,,,,,,1.95,3,4
24/10/09,Asteras Tripolis,Atromitos,1,2,A,0,1,A,,,,,,,,,,,,,,2.1,3.1,3.5
24/10/09,Olympiakos,Ergotelis,2,1,H,1,1,D,,,,,,,,,,,,,,1.22,5.5,11
24/10/09,Panionios,Giannina,3,1,H,2,1,H,,,,,,,,,,,,,,1.8,3.2,4.33
25/10/09,Aris,AEK,1,1,D,1,0,H,,,,,,,,,,,,,,2.5,3,2.75
25/10/09,Levadeiakos,Iraklis,1,0,H,1,0,H,,,,,,,,,,,,,,2.5,3,2.75
25/10/09,Panathinaikos,PAOK,2,1,H,1,1,D,,,,,,,,,,,,,,1.4,4,7.5
25/10/09,Panthrakikos,Larisa,1,3,A,0,3,A,,,,,,,,,,,,,,2.63,3,2.63
25/10/09,Xanthi,Kavala,2,1,H,0,1,A,,,,,,,,,,,,,,2.05,3,3.75
31/10/09,Atromitos,Olympiakos,0,1,A,0,0,D,,,,,,,,,,,,,,5,3.6,1.62
31/10/09,Larisa,Aris,2,2,D,2,2,D,,,,,,,,,,,,,,2.35,3,3
31/10/09,PAOK,Xanthi,1,0,H,0,0,D,,,,,,,,,,,,,,1.53,3.6,6
01/11/09,Ergotelis,AEK,2,2,D,0,1,A,,,,,,,,,,,,,,3.5,3,2.1
01/11/09,Giannina,Levadeiakos,1,1,D,1,1,D,,,,,,,,,,,,,,1.67,3.2,5.25
01/11/09,Iraklis,Asteras Tripolis,1,0,H,0,0,D,,,,,,,,,,,,,,2,3,3.8
01/11/09,Kavala,Panthrakikos,3,0,H,0,0,D,,,,,,,,,,,,,,1.62,3.4,5.5
01/11/09,Panathinaikos,Panionios,2,1,H,2,0,H,,,,,,,,,,,,,,1.25,5,11
07/11/09,Aris,Kavala,0,0,D,0,0,D,,,,,,,,,,,,,,1.62,3.6,5
07/11/09,Olympiakos,Iraklis,1,1,D,1,0,H,,,,,,,,,,,,,,1.2,6,11
07/11/09,Panthrakikos,PAOK,1,2,A,0,1,A,,,,,,,,,,,,,,5.25,3.5,1.62
08/11/09,Asteras Tripolis,Giannina,3,0,H,1,0,H,,,,,,,,,,,,,,1.95,3.2,3.75
08/11/09,Atromitos,Ergotelis,0,0,D,0,0,D,,,,,,,,,,,,,,2.2,3,3.25
08/11/09,Levadeiakos,Panathinaikos,0,2,A,0,0,D,,,,,,,,,,,,,,6.5,3.6,1.5
08/11/09,Xanthi,Panionios,1,2,A,0,1,A,,,,,,,,,,,,,,2.1,3.25,3.25
09/11/09,AEK,Larisa,3,1,H,1,1,D,,,,,,,,,,,,,,1.57,3.5,5.8
