Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
31/08/02,Santander,Valladolid,0,1,A,0,0,D,,,,,,,,,,,,,,1.909,3.25,3.4
01/09/02,Barcelona,Ath Madrid,2,2,D,1,1,D,,,,,,,,,,,,,,1.5,3.4,6
01/09/02,La Coruna,Betis,2,4,A,1,3,A,,,,,,,,,,,,,,1.5,3.4,6
01/09/02,Mallorca,Valencia,0,2,A,0,1,A,,,,,,,,,,,,,,2.875,3,2.25
01/09/02,Recreativo,Malaga,2,3,A,2,1,H,,,,,,,,,,,,,,2.5,3.1,2.5
01/09/02,Sevilla,Celta,0,1,A,0,1,A,,,,,,,,,,,,,,2.375,3.1,2.625
01/09/02,Sociedad,Ath Bilbao,4,2,H,2,1,H,,,,,,,,,,,,,,2.2,3,3
01/09/02,Vallecano,Alaves,2,2,D,1,1,D,,,,,,,,,,,,,,2.2,3,3
01/09/02,Villarreal,Osasuna,2,2,D,2,0,H,,,,,,,,,,,,,,1.727,3.2,4.333
02/09/02,Real Madrid,Espanol,2,0,H,1,0,H,,,,,,,,,,,,,,1.25,4.5,10
14/09/02,Ath Bilbao,Barcelona,0,2,A,0,2,A,,,,,,,,,,,,,,3,3,2.2
14/09/02,Malaga,Vallecano,2,1,H,0,1,A,,,,,,,,,,,,,,1.727,3.2,4.333
14/09/02,Osasuna,La Coruna,1,2,A,1,0,H,,,,,,,,,,,,,,2.875,3,2.25
14/09/02,Valencia,Recreativo,3,0,H,1,0,H,,,,,,,,,,,,,,1.25,4.5,10
15/09/02,Alaves,Santander,0,1,A,0,1,A,,,,,,,,,,,,,,1.667,3.25,4.5
15/09/02,Ath Madrid,Sevilla,1,1,D,0,1,A,,,,,,,,,,,,,,1.615,3.25,5
15/09/02,Celta,Mallorca,3,1,H,2,0,H,,,,,,,,,,,,,,1.571,3.5,5
15/09/02,Espanol,Sociedad,1,3,A,0,1,A,,,,,,,,,,,,,,1.909,3.2,3.5
15/09/02,Valladolid,Villarreal,1,0,H,1,0,H,,,,,,,,,,,,,,1.909,3.2,3.5
21/09/02,Barcelona,Espanol,2,0,H,0,0,D,,,,,,,,,,,,,,1.364,3.75,8
21/09/02,La Coruna,Valladolid,2,0,H,2,0,H,,,,,,,,,,,,,,1.364,3.75,8
21/09/02,Real Madrid,Osasuna,4,1,H,1,0,H,,,,,,,,,,,,,,1.2,5,11
22/09/02,Malaga,Valencia,2,2,D,2,0,H,,,,,,,,,,,,,,2.7,3,2.4
22/09/02,Mallorca,Ath Madrid,0,4,A,0,2,A,,,,,,,,,,,,,,2.375,3.1,2.625
22/09/02,Recreativo,Celta,0,3,A,0,1,A,,,,,,,,,,,,,,3,3,2.2
22/09/02,Sevilla,Ath Bilbao,1,1,D,0,0,D,,,,,,,,,,,,,,1.909,3.25,3.4
22/09/02,Sociedad,Betis,3,3,D,1,2,A,,,,,,,,,,,,,,2.25,3.2,2.75
22/09/02,Vallecano,Santander,3,1,H,1,1,D,,,,,,,,,,,,,,1.909,3.25,3.4
22/09/02,Villarreal,Alaves,0,1,A,0,1,A,,,,,,,,,,,,,,2.1,3,3.2
28/09/02,Alaves,La Coruna,1,2,A,0,0,D,,,,,,,,,,,,,,2.625,3.1,2.375
28/09/02,Betis,Barcelona,3,0,H,1,0,H,,,,,,,,,,,,,,2.75,3.25,2.2
28/09/02,Valladolid,Real Madrid,1,1,D,0,1,A,,,,,,,,,,,,,,4.5,3.3,1.667
29/09/02,Ath Bilbao,Mallorca,0,2,A,0,1,A,,,,,,,,,,,,,,1.727,3.2,4.333
29/09/02,Ath Madrid,Recreativo,1,1,D,1,1,D,,,,,,,,,,,,,,1.364,3.75,8
29/09/02,Celta,Malaga,2,2,D,2,2,D,,,,,,,,,,,,,,1.615,3.25,5
29/09/02,Espanol,Sevilla,0,0,D,0,0,D,,,,,,,,,,,,,,2.1,3,3.2
29/09/02,Osasuna,Sociedad,2,3,A,1,1,D,,,,,,,,,,,,,,2.3,3.2,2.625
29/09/02,Santander,Villarreal,1,1,D,0,0,D,,,,,,,,,,,,,,1.833,3.2,3.75
29/09/02,Valencia,Vallecano,3,0,H,2,0,H,,,,,,,,,,,,,,1.286,4.5,8
05/10/02,Recreativo,Ath Bilbao,1,2,A,0,0,D,,,,,,,,,,,,,,2.5,3,2.625
06/10/02,Barcelona,Osasuna,2,2,D,2,2,D,,,,,,,,,,,,,,1.286,4.5,8
06/10/02,La Coruna,Santander,0,2,A,0,1,A,,,,,,,,,,,,,,1.333,4,8
06/10/02,Malaga,Ath Madrid,3,1,H,1,0,H,,,,,,,,,,,,,,2.1,3.2,3
06/10/02,Mallorca,Espanol,2,0,H,0,0,D,,,,,,,,,,,,,,1.909,3.2,3.5
06/10/02,Real Madrid,Alaves,5,2,H,2,1,H,,,,,,,,,,,,,,1.25,4.5,10
06/10/02,Sevilla,Betis,1,1,D,0,1,A,,,,,,,,,,,,,,2.75,3.2,2.25
06/10/02,Sociedad,Valladolid,2,1,H,0,0,D,,,,,,,,,,,,,,1.667,3.3,4.5
06/10/02,Valencia,Celta,0,1,A,0,0,D,,,,,,,,,,,,,,1.667,3.4,4.333
06/10/02,Vallecano,Villarreal,2,2,D,1,2,A,,,,,,,,,,,,,,1.909,3.2,3.5
08/10/02,Betis,Real Madrid,1,1,D,1,0,H,,,,,,,,,,,,,,,,
19/10/02,Ath Madrid,Valencia,1,1,D,0,1,A,,,,,,,,,,,,,,2.7,3,2.4
19/10/02,Santander,Real Madrid,2,0,H,1,0,H,,,,,,,,,,,,,,4.5,3.25,1.667
19/10/02,Villarreal,La Coruna,3,1,H,0,1,A,,,,,,,,,,,,,,3,3,2.2
20/10/02,Alaves,Sociedad,2,2,D,1,1,D,,,,,,,,,,,,,,2.5,3.1,2.5
20/10/02,Ath Bilbao,Malaga,1,1,D,1,0,H,,,,,,,,,,,,,,2.3,3.2,2.625
20/10/02,Betis,Mallorca,0,1,A,0,1,A,,,,,,,,,,,,,,1.667,3.3,4.5
20/10/02,Celta,Vallecano,0,1,A,0,1,A,,,,,,,,,,,,,,1.444,3.6,6.5
20/10/02,Espanol,Recreativo,2,0,H,0,0,D,,,,,,,,,,,,,,1.667,3.3,4.5
20/10/02,Osasuna,Sevilla,2,1,H,2,1,H,,,,,,,,,,,,,,2.1,3.2,3
20/10/02,Valladolid,Barcelona,2,1,H,0,0,D,,,,,,,,,,,,,,3.25,3.4,1.909
26/10/02,Barcelona,Alaves,6,1,H,4,0,H,,,,,,,,,,,,,,1.4,3.75,7
26/10/02,Celta,Ath Madrid,0,0,D,0,0,D,,,,,,,,,,,,,,1.727,3.2,4.333
26/10/02,Real Madrid,Villarreal,1,1,D,1,1,D,,,,,,,,,,,,,,1.25,4.5,10
26/10/02,Recreativo,Betis,1,1,D,0,1,A,,,,,,,,,,,,,,3.2,3.2,2
26/10/02,Valencia,Ath Bilbao,5,1,H,4,0,H,,,,,,,,,,,,,,1.4,3.75,7
26/10/02,Vallecano,La Coruna,1,2,A,0,1,A,,,,,,,,,,,,,,2.625,3.2,2.3
27/10/02,Malaga,Espanol,3,4,A,3,1,H,,,,,,,,,,,,,,1.727,3.2,4.333
27/10/02,Mallorca,Osasuna,2,0,H,0,0,D,,,,,,,,,,,,,,1.8,3.1,4
27/10/02,Sevilla,Valladolid,2,1,H,2,0,H,,,,,,,,,,,,,,2.1,3.2,3
27/10/02,Sociedad,Santander,2,1,H,0,1,A,,,,,,,,,,,,,,1.727,3.2,4.333
02/11/02,Ath Madrid,Vallecano,2,0,H,1,0,H,,,,,,,,,,,,,,1.727,3.2,4.333
02/11/02,La Coruna,Real Madrid,0,0,D,0,0,D,,,,,,,,,,,,,,2.375,3.1,2.625
02/11/02,Valladolid,Mallorca,1,3,A,1,1,D,,,,,,,,,,,,,,2.1,3.2,3
03/11/02,Alaves,Sevilla,1,0,H,0,0,D,,,,,,,,,,,,,,2,3,3.4
03/11/02,Ath Bilbao,Celta,2,1,H,0,1,A,,,,,,,,,,,,,,2.5,3.1,2.5
03/11/02,Betis,Malaga,3,0,H,0,0,D,,,,,,,,,,,,,,1.8,3.1,4
03/11/02,Espanol,Valencia,0,1,A,0,0,D,,,,,,,,,,,,,,3,3,2.2
03/11/02,Osasuna,Recreativo,0,1,A,0,0,D,,,,,,,,,,,,,,1.727,3.2,4.333
03/11/02,Santander,Barcelona,1,1,D,1,0,H,,,,,,,,,,,,,,3,3.2,2.1
03/11/02,Villarreal,Sociedad,0,1,A,0,1,A,,,,,,,,,,,,,,2.5,3.1,2.5
09/11/02,Barcelona,Villarreal,1,0,H,0,0,D,,,,,,,,,,,,,,1.36,3.75,8
09/11/02,Malaga,Osasuna,1,0,H,0,0,D,,,,,,,,,,,,,,1.57,3.5,5
09/11/02,Sociedad,La Coruna,1,1,D,1,1,D,,,,,,,,,,,,,,2.25,3.2,2.75
09/11/02,Valencia,Betis,1,1,D,0,0,D,,,,,,,,,,,,,,1.66,3.3,4.5
09/11/02,Vallecano,Real Madrid,2,3,A,1,1,D,,,,,,,,,,,,,,3.75,3.3,1.8
10/11/02,Ath Madrid,Ath Bilbao,3,3,D,1,0,H,,,,,,,,,,,,,,1.72,3.2,4.33
10/11/02,Celta,Espanol,1,0,H,1,0,H,,,,,,,,,,,,,,1.57,3.5,5
10/11/02,Mallorca,Alaves,3,1,H,1,0,H,,,,,,,,,,,,,,1.66,3.3,4.5
10/11/02,Recreativo,Valladolid,1,3,A,0,2,A,,,,,,,,,,,,,,2.3,3.2,2.62
10/11/02,Sevilla,Santander,1,0,H,1,0,H,,,,,,,,,,,,,,2.1,3.2,3
16/11/02,La Coruna,Barcelona,2,0,H,0,0,D,,,,,,,,,,,,,,2.2,3,3
16/11/02,Villarreal,Sevilla,1,0,H,0,0,D,,,,,,,,,,,,,,2,3.2,3.2
17/11/02,Alaves,Recreativo,3,0,H,2,0,H,,,,,,,,,,,,,,1.667,3.3,4.5
17/11/02,Ath Bilbao,Vallecano,2,1,H,0,1,A,,,,,,,,,,,,,,1.8,3.3,3.75
17/11/02,Betis,Celta,2,1,H,0,0,D,,,,,,,,,,,,,,2,3,3.5
17/11/02,Espanol,Ath Madrid,1,2,A,0,0,D,,,,,,,,,,,,,,2.3,3.1,2.7
17/11/02,Osasuna,Valencia,1,0,H,1,0,H,,,,,,,,,,,,,,3.75,3.3,1.8
17/11/02,Real Madrid,Sociedad,0,0,D,0,0,D,,,,,,,,,,,,,,1.533,3.4,5.5
17/11/02,Santander,Mallorca,1,2,A,1,1,D,,,,,,,,,,,,,,2.4,3,2.7
17/11/02,Valladolid,Malaga,0,0,D,0,0,D,,,,,,,,,,,,,,2.2,3.25,2.75
23/11/02,Barcelona,Real Madrid,0,0,D,0,0,D,,,,,,,,,,,,,,2.3,3,2.8
23/11/02,Sevilla,La Coruna,1,1,D,1,0,H,,,,,,,,,,,,,,2.875,3,2.25
23/11/02,Vallecano,Sociedad,0,0,D,0,0,D,,,,,,,,,,,,,,2.875,3,2.25
24/11/02,Ath Bilbao,Espanol,4,1,H,1,1,D,,,,,,,,,,,,,,1.727,3.2,4.333
24/11/02,Ath Madrid,Betis,1,0,H,1,0,H,,,,,,,,,,,,,,2.25,3.2,2.75
24/11/02,Celta,Osasuna,0,0,D,0,0,D,,,,,,,,,,,,,,1.5,3.4,6
24/11/02,Malaga,Alaves,0,0,D,0,0,D,,,,,,,,,,,,,,1.667,3.25,4.5
24/11/02,Mallorca,Villarreal,1,1,D,0,1,A,,,,,,,,,,,,,,1.571,3.25,5.5
24/11/02,Recreativo,Santander,2,1,H,0,1,A,,,,,,,,,,,,,,2.5,2.875,2.625
24/11/02,Valencia,Valladolid,2,0,H,2,0,H,,,,,,,,,,,,,,1.364,3.75,8
30/11/02,Osasuna,Ath Madrid,1,0,H,0,0,D,,,,,,,,,,,,,,2.5,3.1,2.5
01/12/02,Alaves,Valencia,0,0,D,0,0,D,,,,,,,,,,,,,,3,3.2,2.1
01/12/02,Betis,Ath Bilbao,1,0,H,0,0,D,,,,,,,,,,,,,,1.727,3.1,4.5
01/12/02,Espanol,Vallecano,3,1,H,1,0,H,,,,,,,,,,,,,,2,3.2,3.2
01/12/02,La Coruna,Mallorca,2,2,D,1,2,A,,,,,,,,,,,,,,1.8,3.1,4
01/12/02,Santander,Malaga,1,0,H,1,0,H,,,,,,,,,,,,,,2.25,3,2.875
01/12/02,Sociedad,Barcelona,2,1,H,1,1,D,,,,,,,,,,,,,,2.25,3,2.875
01/12/02,Valladolid,Celta,0,2,A,0,1,A,,,,,,,,,,,,,,2.375,3.1,2.625
01/12/02,Villarreal,Recreativo,1,0,H,0,0,D,,,,,,,,,,,,,,1.667,3.3,4.5
07/12/02,Malaga,Villarreal,1,1,D,0,0,D,,,,,,,,,,,,,,1.909,3.25,3.4
07/12/02,Recreativo,La Coruna,1,1,D,1,1,D,,,,,,,,,,,,,,4,3.1,1.8
07/12/02,Sevilla,Sociedad,0,1,A,0,0,D,,,,,,,,,,,,,,2.7,3,2.375
07/12/02,Valencia,Santander,2,0,H,1,0,H,,,,,,,,,,,,,,1.4,3.6,7.5
07/12/02,Vallecano,Barcelona,1,0,H,0,0,D,,,,,,,,,,,,,,2.8,3,2.3
08/12/02,Ath Bilbao,Osasuna,1,3,A,1,3,A,,,,,,,,,,,,,,1.727,3.4,4
08/12/02,Ath Madrid,Valladolid,1,0,H,0,0,D,,,,,,,,,,,,,,1.667,3.25,4.5
08/12/02,Celta,Alaves,2,1,H,2,0,H,,,,,,,,,,,,,,1.667,3.25,4.5
08/12/02,Espanol,Betis,2,4,A,0,2,A,,,,,,,,,,,,,,2.7,3,2.375
08/12/02,Mallorca,Real Madrid,1,5,A,1,1,D,,,,,,,,,,,,,,2.5,3.1,2.5
14/12/02,Alaves,Ath Madrid,2,0,H,2,0,H,,,,,,,,,,,,,,2.5,3.1,2.5
14/12/02,Villarreal,Valencia,0,2,A,0,0,D,,,,,,,,,,,,,,3,3,2.2
15/12/02,Barcelona,Sevilla,0,3,A,0,1,A,,,,,,,,,,,,,,1.4,3.75,7
15/12/02,Betis,Vallecano,0,1,A,0,1,A,,,,,,,,,,,,,,1.444,3.75,6
15/12/02,La Coruna,Malaga,1,0,H,0,0,D,,,,,,,,,,,,,,1.615,3.25,5
15/12/02,Osasuna,Espanol,1,0,H,0,0,D,,,,,,,,,,,,,,1.833,3.2,3.75
15/12/02,Real Madrid,Recreativo,4,2,H,1,2,A,,,,,,,,,,,,,,1.143,6,12
15/12/02,Santander,Celta,3,0,H,0,0,D,,,,,,,,,,,,,,2.7,3,2.4
15/12/02,Sociedad,Mallorca,2,1,H,0,0,D,,,,,,,,,,,,,,1.8,3.3,3.75
