Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
17/08/07,Sp Lisbon,Academica,4,1,H,2,0,H,,,,,,,,,,,,,,1.25,4.75,9.5
18/08/07,Leixoes,Benfica,1,1,D,0,0,D,,,,,,,,,,,,,,5.75,3.5,1.53
18/08/07,Maritimo,Pacos Ferreira,3,1,H,3,0,H,,,,,,,,,,,,,,2.15,3.2,3
18/08/07,Nacional,Est Amadora,0,0,D,0,0,D,,,,,,,,,,,,,,1.83,3.25,4
18/08/07,Sp Braga,Porto,1,2,A,0,1,A,,,,,,,,,,,,,,3.6,3.3,1.85
19/08/07,Guimaraes,Setubal,1,1,D,1,1,D,,,,,,,,,,,,,,1.9,3.2,3.75
19/08/07,Leiria,Boavista,0,0,D,0,0,D,,,,,,,,,,,,,,2.15,3.2,3.1
20/08/07,Naval,Belenenses,1,1,D,0,0,D,,,,,,,,,,,,,,2.7,3.2,2.3
25/08/07,Belenenses,Sp Braga,0,2,A,0,1,A,,,,,,,,,,,,,,2.5,3.2,2.75
25/08/07,Benfica,Guimaraes,0,0,D,0,0,D,,,,,,,,,,,,,,1.45,4,6.5
26/08/07,Academica,Leiria,1,1,D,0,0,D,,,,,,,,,,,,,,2.37,3.1,2.7
26/08/07,Boavista,Maritimo,0,2,A,0,2,A,,,,,,,,,,,,,,2,3.2,3.75
26/08/07,Est Amadora,Naval,3,1,H,1,1,D,,,,,,,,,,,,,,2,3.25,3.4
26/08/07,Pacos Ferreira,Leixoes,1,1,D,0,0,D,,,,,,,,,,,,,,1.8,3.25,4
26/08/07,Porto,Sp Lisbon,1,0,H,0,0,D,,,,,,,,,,,,,,2.05,3.1,3.75
27/08/07,Setubal,Nacional,1,1,D,1,1,D,,,,,,,,,,,,,,2.55,3.2,2.7
31/08/07,Leixoes,Guimaraes,2,2,D,2,1,H,,,,,,,,,,,,,,2.45,3.2,2.8
