Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
02/08/02,Guingamp,Lyon,3,3,D,1,2,A,,,,,,,,,,,,,,3.2,3,2.1
03/08/02,Bastia,Lens,1,1,D,0,0,D,,,,,,,,,,,,,,2.5,2.875,2.625
03/08/02,Lille,Bordeaux,0,3,A,0,1,A,,,,,,,,,,,,,,2.1,3,3.2
03/08/02,Marseille,Nantes,0,2,A,0,0,D,,,,,,,,,,,,,,2.25,3,2.875
03/08/02,Montpellier,Rennes,1,0,H,0,0,D,,,,,,,,,,,,,,1.833,3,4
03/08/02,Nice,Le Havre,1,2,A,0,1,A,,,,,,,,,,,,,,1.909,3,3.75
03/08/02,Paris SG,Auxerre,1,0,H,0,0,D,,,,,,,,,,,,,,1.833,3,4
03/08/02,Sedan,Sochaux,0,0,D,0,0,D,,,,,,,,,,,,,,2,3,3.4
03/08/02,Strasbourg,Ajaccio,1,1,D,1,1,D,,,,,,,,,,,,,,1.833,3,4
03/08/02,Troyes,Monaco,0,4,A,0,2,A,,,,,,,,,,,,,,2.1,3,3.2
08/08/02,Auxerre,Montpellier,2,0,H,0,0,D,,,,,,,,,,,,,,1.667,3.4,4.333
09/08/02,Bordeaux,Paris SG,0,0,D,0,0,D,,,,,,,,,,,,,,2.2,3,3
10/08/02,Ajaccio,Guingamp,0,2,A,0,1,A,,,,,,,,,,,,,,2.1,3,3.2
10/08/02,Le Havre,Lille,0,0,D,0,0,D,,,,,,,,,,,,,,2.25,2.875,3
10/08/02,Lens,Sochaux,1,1,D,0,1,A,,,,,,,,,,,,,,1.571,3.25,5.5
10/08/02,Lyon,Sedan,6,1,H,2,1,H,,,,,,,,,,,,,,1.364,3.75,8
10/08/02,Monaco,Marseille,0,1,A,0,0,D,,,,,,,,,,,,,,2,3,3.4
10/08/02,Nantes,Bastia,1,0,H,0,0,D,,,,,,,,,,,,,,1.615,3.25,5
10/08/02,Nice,Strasbourg,4,0,H,2,0,H,,,,,,,,,,,,,,2.1,3,3.2
10/08/02,Rennes,Troyes,0,0,D,0,0,D,,,,,,,,,,,,,,2,3,3.4
16/08/02,Marseille,Lyon,1,1,D,1,1,D,,,,,,,,,,,,,,2.4,3,2.7
17/08/02,Bastia,Monaco,1,0,H,0,0,D,,,,,,,,,,,,,,2.25,3,2.875
