Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
14/09/02,Bologna,Roma,2,1,H,0,1,A,,,,,,,,,,,,,,2.8,2.875,2.375
14/09/02,Como,Empoli,0,2,A,0,1,A,,,,,,,,,,,,,,2,2.875,3.6
14/09/02,Inter,Torino,1,0,H,1,0,H,,,,,,,,,,,,,,1.333,4,8
14/09/02,Modena,Milan,0,3,A,0,1,A,,,,,,,,,,,,,,4.333,3.2,1.727
15/09/02,Brescia,Piacenza,1,2,A,0,0,D,,,,,,,,,,,,,,1.909,3,3.75
15/09/02,Juventus,Atalanta,3,0,H,2,0,H,,,,,,,,,,,,,,1.333,4,8
15/09/02,Lazio,Chievo,2,3,A,1,1,D,,,,,,,,,,,,,,1.667,3.25,4.5
15/09/02,Perugia,Reggina,2,0,H,0,0,D,,,,,,,,,,,,,,1.727,3.1,4.5
15/09/02,Udinese,Parma,1,1,D,0,1,A,,,,,,,,,,,,,,2.3,3,2.8
21/09/02,Empoli,Juventus,0,2,A,0,1,A,,,,,,,,,,,,,,4.333,3.2,1.727
21/09/02,Milan,Perugia,3,0,H,1,0,H,,,,,,,,,,,,,,1.286,4.5,8
22/09/02,Atalanta,Bologna,2,2,D,1,1,D,,,,,,,,,,,,,,2.2,3,3
22/09/02,Chievo,Brescia,1,2,A,0,0,D,,,,,,,,,,,,,,1.667,3.25,4.5
22/09/02,Parma,Como,2,0,H,1,0,H,,,,,,,,,,,,,,1.5,3.4,6
22/09/02,Piacenza,Udinese,2,0,H,1,0,H,,,,,,,,,,,,,,2.1,3,3.2
22/09/02,Reggina,Inter,1,2,A,0,1,A,,,,,,,,,,,,,,4,3,1.833
22/09/02,Roma,Modena,1,2,A,1,1,D,,,,,,,,,,,,,,1.222,5,9
22/09/02,Torino,Lazio,0,1,A,0,0,D,,,,,,,,,,,,,,2.4,3,2.7
28/09/02,Juventus,Parma,2,2,D,0,0,D,,,,,,,,,,,,,,1.4,3.6,7.5
28/09/02,Lazio,Milan,1,1,D,0,1,A,,,,,,,,,,,,,,2.875,3,2.25
29/09/02,Bologna,Piacenza,1,0,H,0,0,D,,,,,,,,,,,,,,1.727,3.1,4.5
29/09/02,Brescia,Roma,2,3,A,1,2,A,,,,,,,,,,,,,,2.8,3,2.3
29/09/02,Como,Reggina,1,1,D,1,0,H,,,,,,,,,,,,,,2.1,3,3.2
29/09/02,Inter,Chievo,2,1,H,1,1,D,,,,,,,,,,,,,,1.5,3.4,6
29/09/02,Modena,Torino,2,1,H,1,0,H,,,,,,,,,,,,,,2.375,3,3
29/09/02,Perugia,Empoli,1,3,A,1,2,A,,,,,,,,,,,,,,1.833,3,4
29/09/02,Udinese,Atalanta,1,0,H,0,0,D,,,,,,,,,,,,,,2.1,3,3.2
05/10/02,Reggina,Brescia,2,2,D,1,2,A,,,,,,,,,,,,,,2.2,2.8,3.2
05/10/02,Roma,Udinese,4,1,H,1,0,H,,,,,,,,,,,,,,1.333,4,8
06/10/02,Atalanta,Lazio,0,1,A,0,1,A,,,,,,,,,,,,,,2.5,3.1,2.5
06/10/02,Chievo,Modena,2,0,H,1,0,H,,,,,,,,,,,,,,1.727,3.2,4.333
06/10/02,Empoli,Bologna,0,0,D,0,0,D,,,,,,,,,,,,,,2.25,3,2.875
06/10/02,Juventus,Como,1,1,D,0,0,D,,,,,,,,,,,,,,1.167,5.5,11
06/10/02,Milan,Torino,6,0,H,3,0,H,,,,,,,,,,,,,,1.286,4.333,8.5
06/10/02,Parma,Perugia,2,2,D,1,0,H,,,,,,,,,,,,,,1.533,3.4,5.5
06/10/02,Piacenza,Inter,1,4,A,0,1,A,,,,,,,,,,,,,,3.75,3,1.909
19/10/02,Empoli,Roma,1,3,A,0,2,A,,,,,,,,,,,,,,3.6,2.875,2
19/10/02,Inter,Juventus,1,1,D,0,0,D,,,,,,,,,,,,,,2.25,2.875,3
20/10/02,Atalanta,Milan,1,4,A,1,2,A,,,,,,,,,,,,,,4,3,1.833
20/10/02,Bologna,Brescia,3,0,H,1,0,H,,,,,,,,,,,,,,1.727,3.1,4.5
20/10/02,Como,Piacenza,1,1,D,1,1,D,,,,,,,,,,,,,,2.2,2.875,3.1
20/10/02,Lazio,Perugia,3,0,H,1,0,H,,,,,,,,,,,,,,1.444,3.6,6.5
20/10/02,Modena,Parma,2,1,H,0,1,A,,,,,,,,,,,,,,2.7,3,2.4
20/10/02,Torino,Chievo,1,0,H,1,0,H,,,,,,,,,,,,,,2.375,3,2.7
20/10/02,Udinese,Reggina,1,0,H,0,0,D,,,,,,,,,,,,,,1.727,3.2,4.333
26/10/02,Chievo,Milan,3,2,H,1,0,H,,,,,,,,,,,,,,4,3.1,1.8
26/10/02,Juventus,Udinese,1,0,H,0,0,D,,,,,,,,,,,,,,1.3,4,9.5
27/10/02,Brescia,Como,1,1,D,0,0,D,,,,,,,,,,,,,,1.727,3.1,4.5
27/10/02,Inter,Bologna,2,0,H,0,0,D,,,,,,,,,,,,,,1.5,3.25,6.5
27/10/02,Lazio,Roma,2,2,D,0,0,D,,,,,,,,,,,,,,2.625,2.75,2.625
27/10/02,Parma,Atalanta,2,1,H,1,0,H,,,,,,,,,,,,,,1.5,3.4,6
27/10/02,Perugia,Modena,2,0,H,2,0,H,,,,,,,,,,,,,,1.909,3,3.75
27/10/02,Piacenza,Empoli,1,2,A,1,1,D,,,,,,,,,,,,,,1.909,3,3.75
27/10/02,Reggina,Torino,2,1,H,0,0,D,,,,,,,,,,,,,,2.1,3,3.2
02/11/02,Torino,Brescia,0,2,A,0,1,A,,,,,,,,,,,,,,2.1,3,3.2
02/11/02,Udinese,Bologna,0,0,D,0,0,D,,,,,,,,,,,,,,2.25,3,2.875
03/11/02,Atalanta,Piacenza,2,0,H,0,0,D,,,,,,,,,,,,,,2.2,3,3
03/11/02,Como,Inter,0,2,A,0,0,D,,,,,,,,,,,,,,4.5,3.1,1.727
03/11/02,Empoli,Lazio,1,2,A,1,1,D,,,,,,,,,,,,,,2.875,3,2.25
03/11/02,Milan,Reggina,2,0,H,1,0,H,,,,,,,,,,,,,,1.25,4.5,10
03/11/02,Modena,Juventus,0,1,A,0,0,D,,,,,,,,,,,,,,4,3.1,1.8
03/11/02,Parma,Chievo,0,1,A,0,0,D,,,,,,,,,,,,,,1.727,3.2,4.333
03/11/02,Roma,Perugia,2,2,D,0,2,A,,,,,,,,,,,,,,1.333,4,8
06/11/02,Atalanta,Modena,1,3,A,0,2,A,,,,,,,,,,,,,,2,3,3.4
06/11/02,Chievo,Perugia,3,0,H,2,0,H,,,,,,,,,,,,,,1.727,3.2,4.333
06/11/02,Empoli,Inter,3,4,A,1,2,A,,,,,,,,,,,,,,4.333,3.2,1.727
06/11/02,Milan,Udinese,1,0,H,0,0,D,,,,,,,,,,,,,,1.286,4.333,9
06/11/02,Parma,Brescia,4,3,H,2,2,D,,,,,,,,,,,,,,1.615,3.25,5
06/11/02,Piacenza,Juventus,0,1,A,0,0,D,,,,,,,,,,,,,,4.5,3.1,1.727
06/11/02,Reggina,Lazio,0,3,A,0,2,A,,,,,,,,,,,,,,3.3,3.1,2
06/11/02,Roma,Como,2,1,H,1,0,H,,,,,,,,,,,,,,1.286,4.333,9
06/11/02,Torino,Bologna,2,1,H,1,1,D,,,,,,,,,,,,,,2.5,2.875,2.625
09/11/02,Inter,Udinese,1,2,A,1,1,D,,,,,,,,,,,,,,1.25,4.5,10
09/11/02,Piacenza,Roma,1,1,D,1,1,D,,,,,,,,,,,,,,3.75,3,1.9
10/11/02,Bologna,Como,1,0,H,0,0,D,,,,,,,,,,,,,,1.5,3.4,6
10/11/02,Brescia,Empoli,0,2,A,0,0,D,,,,,,,,,,,,,,1.9,3,3.75
10/11/02,Chievo,Atalanta,4,1,H,1,1,D,,,,,,,,,,,,,,1.57,3.25,5.5
10/11/02,Juventus,Milan,2,1,H,2,1,H,,,,,,,,,,,,,,2.25,2.87,3
10/11/02,Lazio,Parma,0,0,D,0,0,D,,,,,,,,,,,,,,1.61,3.25,5
