Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
23/08/08,Buyuksehyr,Eskisehirspor,0,0,D,0,0,D,,,,,,,,,,,,,,1.95,3.3,3.6
23/08/08,Galatasaray,Denizlispor,4,1,H,1,1,D,,,,,,,,,,,,,,1.36,4.33,7.5
23/08/08,Gaziantepspor,Fenerbahce,1,0,H,0,0,D,,,,,,,,,,,,,,4.5,3.5,1.7
23/08/08,Hacettepespor,Bursaspor,1,2,A,1,1,D,,,,,,,,,,,,,,2.3,3.2,2.88
23/08/08,Sivasspor,Kayserispor,0,0,D,0,0,D,,,,,,,,,,,,,,2.05,3.1,3.6
24/08/08,Antalyaspor,Besiktas,2,3,A,2,0,H,,,,,,,,,,,,,,5.5,3.5,1.6
24/08/08,Genclerbirligi,Kocaelispor,1,1,D,1,1,D,,,,,,,,,,,,,,1.67,3.4,4.75
24/08/08,Konyaspor,Ankaragucu,3,2,H,2,1,H,,,,,,,,,,,,,,2.15,3.25,3.1
24/08/08,Trabzonspor,Ankaraspor,2,0,H,0,0,D,,,,,,,,,,,,,,1.6,3.5,5.5
29/08/08,Ankaragucu,Trabzonspor,1,2,A,0,2,A,,,,,,,,,,,,,,2.9,3.25,2.3
30/08/08,Ankaraspor,Gaziantepspor,0,2,A,0,1,A,,,,,,,,,,,,,,2.3,3.25,2.9
30/08/08,Fenerbahce,Buyuksehyr,2,0,H,0,0,D,,,,,,,,,,,,,,1.29,4.75,9
30/08/08,Kocaelispor,Sivasspor,0,2,A,0,0,D,,,,,,,,,,,,,,2.7,3.2,2.45
31/08/08,Bursaspor,Genclerbirligi,2,0,H,0,0,D,,,,,,,,,,,,,,2.25,3.2,3
31/08/08,Denizlispor,Antalyaspor,3,2,H,1,0,H,,,,,,,,,,,,,,2.1,3.25,3.25
31/08/08,Eskisehirspor,Hacettepespor,0,0,D,0,0,D,,,,,,,,,,,,,,1.95,3.25,3.6
31/08/08,Kayserispor,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,,3.5,3.3,2
01/09/08,Besiktas,Konyaspor,2,0,H,0,0,D,,,,,,,,,,,,,,1.3,4.5,8.5
13/09/08,Galatasaray,Antalyaspor,1,1,D,1,1,D,,,,,,,,,,,,,,1.17,6,13
13/09/08,Hacettepespor,Fenerbahce,2,1,H,1,1,D,,,,,,,,,,,,,,6.5,4,1.4
